Algo,TFIDF,Stemming,Punc,Stopword,Time,Accuracy
K-Neighbors,0,Porter,Space,>2,9.1361004,73.85
K-Neighbors,0,Snowball,Space,>2,7.27895536,73.82
K-Neighbors,0,Snowball,Nothing,>2,7.43067354,73.6225
K-Neighbors,0,Lemmatizer,Nothing,>2,4.87362747,73.4975
K-Neighbors,0,Nothing,Nothing,>2,3.57499003,72.6825
K-Neighbors,1,Porter,Nothing,>3,9.91592389,72.1275
K-Neighbors,1,Lemmatizer,Space,>3,5.88039237,71.9925
K-Neighbors,0,Lemmatizer,Space,>2,4.88274577,71.835
K-Neighbors,1,Nothing,Nothing,>3,5.05583769,71.75
K-Neighbors,1,Lemmatizer,Nothing,>3,5.88418518,71.2825
K-Neighbors,0,Nothing,Space,>2,3.64006846,71.075
K-Neighbors,1,Porter,Space,>3,9.61504932,70.4925
K-Neighbors,1,Snowball,Space,>3,8.18666575,70.345
K-Neighbors,1,Nothing,Space,>3,4.94702769,67.92
K-Neighbors,1,Snowball,Nothing,>3,8.30259491,67.1
K-Neighbors,1,Lemmatizer,Nothing,>2,7.12480399,64.37
K-Neighbors,1,Nothing,Nothing,>2,6.20090793,63.9675
K-Neighbors,1,Porter,Space,>2,11.49340054,54.7275
K-Neighbors,1,Snowball,Nothing,>2,9.85565756,54.425
K-Neighbors,1,Snowball,Space,>2,9.78485158,53.7675
K-Neighbors,1,Porter,Nothing,>2,11.94391237,53.6775
K-Neighbors,1,Lemmatizer,Space,>2,7.07994689,52.3075
K-Neighbors,1,Nothing,Space,>2,6.09137084,48.325
